Planet_Name,Host_Star_Name,Number_of_Stars,Number_of_Planets,Number_of_Moons,Discovery_Method,Discovery_Year,Discovery_Facility,Orbital_Period_Days,Orbital_Distance_AU,Planet_Radius_Earth_Units,Planet_Radius_Jupiter_Units,Planet_Mass_Earth_Units,Planet_Mass_Jupiter_Units,Mass_Measurement_Type,Orbit_Eccentricity,Insolation_Flux_Earth_Units,Equilibrium_Temperature_K,Star_Spectral_Type,Star_Temperature_K,Star_Radius_Solar_Units,Star_Mass_Solar_Units,Star_Metallicity,Star_Metallicity_Ratio,Star_Surface_Gravity,Right_Ascension_Deg,Declination_Deg,Distance_From_Earth_Light_Years,Star_Gaia_Magnitude
GJ 273 c,GJ 273,1,2,0,Radial Velocity,2017,La Silla Observatory,4.7234,0.036467,1.06,0.0942,1.18,0.00371268,Msini,0.17,6.66,449.05,M3.5,3382.0,0.293,0.29,0.09,[Fe/H],4.90868,111.852091,5.225807,19.3134416946,7.84038
GJ 3021 b,GJ 3021,2,1,0,Radial Velocity,2000,La Silla Observatory,133.71,0.49,13.1,1.17,1071.04,3.37,Msini,0.511,4.515000000000001,350.0,G6 V,5540.0,0.9,0.9,0.1,[Fe/H],4.7,4.0634323,-79.8514218,57.259621204,6.39729
GJ 3082 b,GJ 3082,1,1,0,Radial Velocity,2020,Multiple Facilities,11.949,0.079,2.79,0.249,8.2,0.02579996,Msini,0.22,4.515000000000001,449.05,M4,3910.0,0.465216,0.47,0.05,Unknown,4.76801,18.6432425,-53.9407751,54.202561016,10.2011
GJ 3090 b,GJ 3090,1,2,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.85310198,0.0316,2.18,0.19448691,4.52,0.01422151,Mass,0.25,45.4,723.0,M2 V,3707.0,0.516,0.519,0.12,[Fe/H],4.727,20.4384281,-46.7147234,73.303887156,10.5521
GJ 3090 c,GJ 3090,1,2,0,Radial Velocity,2026,Multiple Facilities,15.9407,0.0997,3.14,0.28,10.0,0.03146352,Msini,0.0,4.58,407.2,M2 V,3707.0,0.516,0.519,0.12,[Fe/H],4.727,20.4384281,-46.7147234,73.303887156,10.5521
GJ 3138 b,GJ 3138,1,3,0,Radial Velocity,2017,La Silla Observatory,1.22003,0.0197,1.18,0.106,1.78,0.00560048,Msini,0.19,118.1,449.05,M0,3717.0,0.5,0.681,-0.3,[Fe/H],4.62872,32.2977385,-16.3392495,92.860527072,10.1924
GJ 3138 c,GJ 3138,1,3,0,Radial Velocity,2017,La Silla Observatory,5.974,0.057,1.88,0.167,4.18,0.01315168,Msini,0.11,13.9,449.05,M0,3717.0,0.5,0.681,-0.3,[Fe/H],4.62872,32.2977385,-16.3392495,92.860527072,10.1924
GJ 3138 d,GJ 3138,1,3,0,Radial Velocity,2017,La Silla Observatory,257.8,0.698,3.23,0.288,10.5,0.03303653,Msini,0.32,0.1,449.05,M0,3717.0,0.5,0.681,-0.3,[Fe/H],4.62872,32.2977385,-16.3392495,92.860527072,10.1924
GJ 317 b,GJ 317,1,2,0,Radial Velocity,2007,W. M. Keck Observatory,695.69,1.138,13.3,1.18,794.5,2.5,Mass,0.0826,4.515000000000001,449.05,M3.5 V,3496.0,0.403,0.402,-0.02,[Fe/H],4.822436,130.2445254,-23.452809,49.56527500799999,10.7539
GJ 317 c,GJ 317,1,2,0,Radial Velocity,2016,W. M. Keck Observatory,6500.0,5.04,13.6,1.21,454.49462201,1.43,Msini,0.217,4.515000000000001,449.05,M3.5 V,3496.0,0.403,0.402,-0.02,[Fe/H],4.822436,130.2445254,-23.452809,49.56527500799999,10.7539
GJ 3222 b,GJ 3222,2,1,0,Radial Velocity,2022,Multiple Observatories,10.66669,0.091,3.4,0.303,11.44182265,0.036,Msini,0.929,4.515000000000001,449.05,K0V,5257.46,0.931389,0.89,0.16,[M/H],4.43,50.8972464,-40.0762325,59.484885745199996,7.84038
GJ 328 b,GJ 328,1,2,0,Radial Velocity,2013,McDonald Observatory,3771.0,4.11,13.3,1.18,797.74930157,2.51,Msini,0.227,4.515000000000001,449.05,M0.0,3897.0,0.63,0.65,-0.06,[Fe/H],4.64,133.7819507,1.5420011,66.94873749599999,9.2861
GJ 328 c,GJ 328,1,2,0,Radial Velocity,2023,Roque de los Muchachos Observatory,241.8,0.657,4.91,0.438,21.4,0.06733193,Msini,0.152,4.515000000000001,449.05,M0.0,3897.0,0.63,0.65,-0.06,[Fe/H],4.64,133.7819507,1.5420011,66.94873749599999,9.2861
GJ 3293 b,GJ 3293,1,4,0,Radial Velocity,2015,La Silla Observatory,30.5987,0.14339,5.19,0.463,23.54,0.07406475,Msini,0.06,1.07,449.05,M2.5,3466.0,0.404,0.42,0.02,[Fe/H],4.78125,67.1484425,-25.1713396,65.851874868,10.9788
GJ 3293 c,GJ 3293,1,4,0,Radial Velocity,2015,La Silla Observatory,122.6196,0.36175,4.87,0.434,21.09,0.06635623,Msini,0.11,0.17,449.05,M2.5,3466.0,0.404,0.42,0.02,[Fe/H],4.78125,67.1484425,-25.1713396,65.851874868,10.9788
GJ 3293 d,GJ 3293,1,4,0,Radial Velocity,2017,La Silla Observatory,48.1345,0.19394,2.67,0.238,7.6,0.02391215,Msini,0.12,0.59,449.05,M2.5,3466.0,0.404,0.42,0.02,[Fe/H],4.78125,67.1484425,-25.1713396,65.851874868,10.9788
GJ 3293 e,GJ 3293,1,4,0,Radial Velocity,2017,La Silla Observatory,13.2543,0.08208,1.63,0.145,3.28,0.01031998,Msini,0.21,3.34,449.05,M2.5,3466.0,0.404,0.42,0.02,[Fe/H],4.78125,67.1484425,-25.1713396,65.851874868,10.9788
GJ 3323 b,GJ 3323,1,2,0,Radial Velocity,2017,La Silla Observatory,5.3636,0.03282,1.23,0.109,2.02,0.0063556,Msini,0.23,2.58,449.05,M4,3159.0,0.119,0.164,-0.27,[Fe/H],4.37,75.4868824,-6.9485133,17.5303631504,10.6467
GJ 3323 c,GJ 3323,1,2,0,Radial Velocity,2017,La Silla Observatory,40.54,0.1264,1.32,0.118,2.31,0.00726804,Msini,0.17,0.17,449.05,M4,3159.0,0.119,0.164,-0.27,[Fe/H],4.37,75.4868824,-6.9485133,17.5303631504,10.6467
GJ 3341 b,GJ 3341,1,1,0,Radial Velocity,2015,La Silla Observatory,14.207,0.089,2.46,0.219,6.6,0.0208,Msini,0.31,4.515000000000001,449.05,M2.5,3526.0,0.439,0.47,-0.09,[Fe/H],4.76852,78.9471415,-31.2948458,77.03478564,11.1029
GJ 338 B b,GJ 338 B,2,1,0,Radial Velocity,2020,Calar Alto Observatory,24.422,0.142,3.25,0.29,10.6,0.03335133,Msini,0.109,4.515000000000001,391.0,M0 V,4014.0,0.58,0.64,-0.03,[Fe/H],4.68,138.5916722,52.6835211,20.6540243936,7.04775
GJ 341 b,GJ 341,1,1,0,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),7.57686,0.0761,0.88,0.07850848,4.0,0.01258541,Mass,0.0,13.8,629.0,M1,3770.0,0.5066,0.48,-0.16,[Fe/H],4.72,140.3993759,-60.2811692,34.09634824,8.67538
GJ 3470 b,GJ 3470,1,1,0,Radial Velocity,2012,La Silla Observatory,3.3366496,0.0355,4.57,0.40770809,13.9,0.04373407,Mass,0.017,29.6584,593.5,M1.5,3600.0,0.547,0.539,0.2,[Fe/H],4.695,119.7735021,15.391209,95.95966138399999,11.3537
GJ 3473 b,GJ 3473,2,2,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.1980035,0.01589,1.264,0.11276653,1.86,0.00585219,Mass,0.0,59.4,773.0,M4,3347.0,0.364,0.36,0.11,[Fe/H],4.81,120.5936065,3.3371629,89.25063246399999,12.465
GJ 3473 c,GJ 3473,2,2,0,Radial Velocity,2020,Multiple Observatories,15.509,0.0876,2.63,0.235,7.41,0.02331435,Msini,0.0,1.95,329.1,M4,3347.0,0.364,0.36,0.11,[Fe/H],4.81,120.5936065,3.3371629,89.25063246399999,12.465
GJ 3512 b,GJ 3512,1,2,0,Radial Velocity,2019,Calar Alto Observatory,203.109,0.3376,14.3,1.27,146.51889563,0.461,Msini,0.4279,4.515000000000001,449.05,M5.5 V,3141.0,0.139,0.123,-0.07,[Fe/H],5.1582,130.3316616,59.4918364,30.940364937200002,13.1117
GJ 3512 c,GJ 3512,1,2,0,Radial Velocity,2020,Multiple Observatories,2354.0,1.731,14.3,1.27,143.97626837,0.453,Msini,0.089,4.515000000000001,449.05,M5.5 V,3141.0,0.139,0.123,-0.07,[Fe/H],5.1582,130.3316616,59.4918364,30.940364937200002,13.1117
GJ 357 b,GJ 357,1,3,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),3.9306,0.036,1.2,0.10705701,1.83,0.00575782,Mass,0.0,12.6,518.0,M2.5 V,3505.0,0.337,0.342,-0.12,[Fe/H],4.94,144.0074644,-21.6650634,30.7950298236,9.88036
GJ 357 c,GJ 357,1,3,0,Radial Velocity,2019,Multiple Observatories,9.1247,0.061,1.66,0.148,3.4,0.01069754,Msini,0.152,4.45,401.2,M2.5 V,3505.0,0.337,0.342,-0.12,[Fe/H],4.94,144.0074644,-21.6650634,30.7950298236,9.88036
GJ 357 d,GJ 357,1,3,0,Radial Velocity,2019,Multiple Observatories,55.661,0.204,2.34,0.209,6.1,0.01919265,Msini,0.152,0.38,219.6,M2.5 V,3505.0,0.337,0.342,-0.12,[Fe/H],4.94,144.0074644,-21.6650634,30.7950298236,9.88036
GJ 3634 b,GJ 3634,1,1,0,Radial Velocity,2010,La Silla Observatory,2.64561,0.0287,2.83,0.253,8.4,0.026,Mass,0.08,4.515000000000001,449.05,M2.5,3517.0,0.43,0.45,0.05,Unknown,4.77636,164.6433493,-31.1443383,66.463743524,10.9233
GJ 367 b,GJ 367,1,3,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.3219225,0.00709,0.699,0.06236071,0.633,0.00199164,Mass,0.06,579.0,1365.0,M1.0 V,3522.0,0.458,0.455,-0.01,[Fe/H],4.776,146.121464,-45.7790165,30.699857502799997,9.15159
GJ 367 c,GJ 367,1,3,0,Radial Velocity,2023,La Silla Observatory,11.5301,0.95,1.86,0.166,4.13,0.01299443,Msini,0.09,4.515000000000001,449.05,M1.0 V,3522.0,0.458,0.455,-0.01,[Fe/H],4.776,146.121464,-45.7790165,30.699857502799997,9.15159
GJ 367 d,GJ 367,1,3,0,Radial Velocity,2023,La Silla Observatory,34.369,0.95,2.33,0.208,6.03,0.0189725,Msini,0.14,4.515000000000001,449.05,M1.0 V,3522.0,0.458,0.455,-0.01,[Fe/H],4.776,146.121464,-45.7790165,30.699857502799997,9.15159
GJ 3779 b,GJ 3779,1,1,0,Radial Velocity,2018,Calar Alto Observatory,3.0232,0.026,2.75,0.245,8.0,0.02517069,Msini,0.07,4.515000000000001,449.05,M4.0 V,3324.0,0.281,0.27,0.0,[Fe/H],5.05,200.7335358,24.4639425,44.82361908,11.6266
GJ 3929 b,GJ 3929,1,2,0,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),2.616235,0.0252,1.09,0.09724345,1.75,0.00550612,Mass,0.0,17.3,568.0,M3.5 V,3384.0,0.32,0.313,-0.02,[Fe/H],4.89,239.5775678,35.4081141,51.563632819999995,11.5109
GJ 3929 c,GJ 3929,1,2,0,Radial Velocity,2022,Multiple Observatories,15.04,0.081,2.26,0.201,5.71,0.01796567,Msini,0.0,1.68,317.0,M3.5 V,3384.0,0.32,0.313,-0.02,[Fe/H],4.89,239.5775678,35.4081141,51.563632819999995,11.5109
GJ 393 b,GJ 393,1,1,0,Radial Velocity,2021,Multiple Observatories,7.02679,0.05402,1.17,0.104,1.71,0.00538026,Msini,0.152,9.21,485.0,M2.0 V,3579.0,0.426,0.426,-0.09,[Fe/H],4.88,157.2288672,0.8378485,22.933626524399997,8.67373
GJ 3942 b,GJ 3942,1,1,0,Radial Velocity,2017,Roque de los Muchachos Observatory,6.905,0.0608,2.57,0.229,7.14,0.02246484,Msini,0.121,4.515000000000001,590.0,M0,3867.0,0.61,0.63,-0.04,[Fe/H],4.65,242.2645452,52.9441443,55.213970771999996,9.40765
GJ 3988 b,GJ 3988,1,1,0,Radial Velocity,2023,Calar Alto Observatory,6.9442,0.0405,1.74,0.156,3.69,0.01161004,Msini,0.0,2.45,348.0,M4.5 V,3273.0,0.19734,0.1842,-0.12,[Fe/H],4.92,255.8503747,51.4089795,32.32369038,11.9925
GJ 3998 b,GJ 3998,1,3,0,Radial Velocity,2016,Roque de los Muchachos Observatory,2.65033,0.03,1.39,0.124,2.5,0.00786588,Msini,0.0,48.0,449.05,M1,3726.0,0.5,0.52,-0.13,[Fe/H],4.75,259.0020507,11.0561751,59.183941604,9.98337
GJ 3998 c,GJ 3998,1,3,0,Radial Velocity,2016,Roque de los Muchachos Observatory,13.727,0.09,2.5,0.223,6.82,0.02145812,Msini,0.0,5.4,449.05,M1,3726.0,0.5,0.52,-0.13,[Fe/H],4.75,259.0020507,11.0561751,59.183941604,9.98337
GJ 3998 d,GJ 3998,1,3,0,Radial Velocity,2025,Multiple Observatories,41.78,0.189,2.34,0.209,6.07,0.01909836,Msini,0.0,1.2,449.05,M1,3726.0,0.5,0.52,-0.13,[Fe/H],4.75,259.0020507,11.0561751,59.183941604,9.98337
GJ 411 b,GJ 411,1,2,0,Radial Velocity,2019,Haute-Provence Observatory,12.9394,0.07879,1.45,0.129,2.69,0.00846369,Msini,0.063,3.13,349.83,M1.5 V,3719.0,0.3685,0.3899,-0.3621,[Fe/H],4.895,165.834471,35.972317,18.51187418588,7.84038
GJ 414 A b,GJ 414 A,2,2,0,Radial Velocity,2021,W. M. Keck Observatory,50.8,0.2324,2.63,0.23463288,7.6,0.02391215,Msini,0.45,4.515000000000001,308.6,K7 V,4120.0,0.68,0.65,0.24,[Fe/H],4.65,167.7745044,30.4451688,38.777665307999996,7.72808
GJ 414 A c,GJ 414 A,2,2,0,Radial Velocity,2021,W. M. Keck Observatory,749.83,1.4,8.4,0.74939781,53.83,0.16936727,Msini,0.105,4.515000000000001,124.7,K7 V,4120.0,0.68,0.65,0.24,[Fe/H],4.65,167.7745044,30.4451688,38.777665307999996,7.72808
GJ 422 b,GJ 422,1,1,0,Radial Velocity,2014,Multiple Observatories,20.129,0.111,3.33,0.297,11.07,0.03482994,Msini,0.11,4.515000000000001,449.05,M3.5 V,3323.0,0.370328,0.35,0.05,Unknown,4.85435,168.9810458,-57.5425629,41.301460436,10.4771
GJ 4274 b,GJ 4274,1,2,0,Radial Velocity,2026,Mauna Kea Observatory,1.6339,0.0153,1.53,0.137,2.97,0.00934467,Msini,0.152,14.7,449.05,M4.5 V,3228.0,0.19,0.18,-0.19,[Fe/H],5.26,335.7805478,-17.6104078,23.5992130736,11.5542
GJ 4274 c,GJ 4274,1,2,0,Radial Velocity,2026,Mauna Kea Observatory,69.57,0.186,2.83,0.252,8.39,0.02639789,Msini,0.152,0.1,449.05,M4.5 V,3228.0,0.19,0.18,-0.19,[Fe/H],5.26,335.7805478,-17.6104078,23.5992130736,11.5542
GJ 4276 b,GJ 4276,1,1,0,Radial Velocity,2019,Calar Alto Observatory,13.352,0.082,4.22,0.377,16.57,0.05213479,Msini,0.37,4.515000000000001,449.05,M4.0,3387.0,0.407,0.406,0.12,[Fe/H],4.97,336.3221454,59.412503,69.589296472,11.6605
GJ 433 b,GJ 433,1,3,0,Radial Velocity,2013,La Silla Observatory,7.3705,0.062,2.33,0.208,6.043,0.01901331,Msini,0.04,4.515000000000001,449.05,M2V,3461.0,0.5,0.48,-0.17,[Fe/H],4.81,173.8619194,-32.5436302,29.5646063136,8.89138
GJ 433 c,GJ 433,1,3,0,Radial Velocity,2014,Multiple Observatories,5094.105,4.819,6.27,0.56,32.422,0.10201051,Msini,0.12,4.515000000000001,449.05,M2V,3461.0,0.5,0.48,-0.17,[Fe/H],4.81,173.8619194,-32.5436302,29.5646063136,8.89138
GJ 433 d,GJ 433,1,3,0,Radial Velocity,2020,Multiple Facilities,36.059,0.178,2.14,0.191,5.223,0.01643331,Msini,0.07,4.515000000000001,449.05,M2V,3461.0,0.5,0.48,-0.17,[Fe/H],4.81,173.8619194,-32.5436302,29.5646063136,8.89138
GJ 436 b,GJ 436,1,1,0,Radial Velocity,2004,W. M. Keck Observatory,2.64388312,0.0291,4.17,0.372,22.1,0.07,Mass,0.13827,29.4322,686.0,M2.5 V,3586.11,0.455,0.47,0.0991,[Fe/H],4.792,175.5505363,26.7030669,31.810679607599997,9.57148
GJ 463 b,GJ 463,1,1,0,Radial Velocity,2022,Multiple Observatories,3459.0,3.53,13.1,1.17,1080.6165838,3.4,Mass,0.146,4.515000000000001,449.05,M3.0 V,3563.0,0.483,0.486,-0.16,[Fe/H],4.86,185.7440496,64.0324311,59.86723842399999,10.5462
GJ 480 b,GJ 480,1,1,0,Radial Velocity,2020,Multiple Observatories,9.5536,0.068,2.91,0.26,8.8,0.0276879,Msini,0.0,4.515000000000001,406.0,M3.5 Ve,3509.0,0.449,0.45,0.26,[m/H],4.88,189.7134226,11.6950708,46.430915848,10.3249
GJ 486 b,GJ 486,1,1,0,Radial Velocity,2021,Calar Alto Observatory,1.46712127,0.01714,1.289,0.11499708,2.77,0.00871539,Mass,0.00086,39.2,696.3,M3.5 V,3317.0,0.3243,0.312,-0.15,[Fe/H],4.9111,191.981531,9.7494181,26.3346834456,10.094
GJ 504 b,GJ 504,1,1,0,Imaging,2013,Subaru Telescope,33000.0,43.5,12.10569916,1.08,1271.3,4.0,Mass,0.4,68.8655,510.0,G0 V,6234.0,1.26,1.22,0.28,[Fe/H],4.6,199.192348,9.4249781,57.174820644,5.04156
GJ 508.2 b,GJ 508.2,1,1,0,Radial Velocity,2025,Calar Alto Observatory,5300.0,4.85,12.6,1.12,587.98255295,1.85,Msini,0.27,4.515000000000001,449.05,M1.0 V,3720.0,0.53,0.54,-0.15,[Fe/H],4.71218,200.2443854,34.2776644,54.263878344,9.76539
GJ 514 b,GJ 514,1,1,0,Radial Velocity,2022,Multiple Observatories,140.43,0.422,2.13,0.19,5.2,0.01636103,Msini,0.45,0.28,202.0,M0.5-1.0 V,3728.0,0.5,0.51,-0.14,[Fe/H],4.76,202.5040424,10.3725387,24.845846536799996,8.20621
GJ 536 b,GJ 536,1,2,0,Radial Velocity,2016,La Silla Observatory,8.70874,0.0668,2.41,0.215,6.37,0.02004226,Msini,0.0,9.9,451.0,M1 V,3641.0,0.529,0.528,-0.08,[Fe/H],4.713,210.2597264,-2.6522901,33.950230352,8.85881
GJ 536 c,GJ 536,1,2,0,Radial Velocity,2025,Multiple Facilities,32.761,0.1617,2.3,0.205,5.89,0.01853201,Msini,0.0,1.692,290.5,M1 V,3641.0,0.529,0.528,-0.08,[Fe/H],4.713,210.2597264,-2.6522901,33.950230352,8.85881
GJ 581 b,GJ 581,1,3,0,Radial Velocity,2005,La Silla Observatory,5.3686,0.0399,4.79,0.427,20.5,0.06450021,Mass,0.0342,4.515000000000001,449.05,M3.0 V,3500.0,0.302,0.295,-0.08,[Fe/H],4.97,229.8564725,-7.7226935,20.541631036,9.411
GJ 581 c,GJ 581,1,3,0,Radial Velocity,2007,La Silla Observatory,12.9211,0.0718,2.5,0.223,6.81,0.02142666,Mass,0.032,4.515000000000001,449.05,M3.0 V,3500.0,0.302,0.295,-0.08,[Fe/H],4.97,229.8564725,-7.7226935,20.541631036,9.411
GJ 581 e,GJ 581,1,3,0,Radial Velocity,2009,La Silla Observatory,3.1481,0.02799,1.38,0.123,2.48,0.00780295,Mass,0.012,4.515000000000001,449.05,M3.0 V,3500.0,0.302,0.295,-0.08,[Fe/H],4.97,229.8564725,-7.7226935,20.541631036,9.411
GJ 625 b,GJ 625,1,1,0,Radial Velocity,2017,Multiple Observatories,14.628,0.078361,1.49,0.133,2.82,0.00887267,Msini,0.13,4.515000000000001,449.05,M2,3499.0,0.31,0.3,-0.38,[Fe/H],4.94,246.3557854,54.3033625,21.110414484399996,9.13702
GJ 649 b,GJ 649,1,1,0,Radial Velocity,2009,W. M. Keck Observatory,600.1,1.112,10.8,0.966,81.99972901,0.258,Msini,0.083,4.515000000000001,449.05,M1.0,3734.0,0.5,0.51,-0.15,[Fe/H],4.76,254.5363221,25.7419719,33.853688176,8.81875
GJ 667 C b,GJ 667 C,3,5,0,Radial Velocity,2012,La Silla Observatory,7.203,0.050431,2.25,0.201,5.68,0.01789,Msini,0.2,4.515000000000001,449.05,M1.5 V,3350.0,1.08287,0.33,-0.55,[Fe/H],4.69,259.7510609,-34.9977651,23.6266101776,9.38033
GJ 667 C c,GJ 667 C,3,5,0,Radial Velocity,2013,La Silla Observatory,28.14,0.125,1.77,0.158,3.8,0.012,Msini,0.02,4.515000000000001,449.05,M1.5 V,3350.0,1.08287,0.33,-0.55,[Fe/H],4.69,259.7510609,-34.9977651,23.6266101776,9.38033
GJ 667 C e,GJ 667 C,3,5,0,Radial Velocity,2013,La Silla Observatory,62.24,0.213,1.45,0.129,2.7,0.008,Msini,0.02,4.515000000000001,449.05,M1.5 V,3350.0,1.08287,0.33,-0.55,[Fe/H],4.69,259.7510609,-34.9977651,23.6266101776,9.38033
GJ 667 C f,GJ 667 C,3,5,0,Radial Velocity,2013,La Silla Observatory,39.026,0.156,1.45,0.129,2.7,0.008,Msini,0.03,4.515000000000001,449.05,M1.5 V,3350.0,1.08287,0.33,-0.55,[Fe/H],4.69,259.7510609,-34.9977651,23.6266101776,9.38033
GJ 667 C g,GJ 667 C,3,5,0,Radial Velocity,2013,La Silla Observatory,256.2,0.549,1.99,0.177,4.6,0.014,Msini,0.08,4.515000000000001,449.05,M1.5 V,3350.0,1.08287,0.33,-0.55,[Fe/H],4.69,259.7510609,-34.9977651,23.6266101776,9.38033
GJ 674 b,GJ 674,1,1,0,Radial Velocity,2007,La Silla Observatory,4.6938,0.039,3.33,0.297,11.09,0.035,Msini,0.2,4.515000000000001,449.05,M2.5,3600.0,0.36463,0.35,-0.28,[Fe/H],4.85978,262.1700476,-46.8989826,14.8367059776,8.33063
GJ 676 A b,GJ 676 A,2,4,0,Radial Velocity,2010,La Silla Observatory,1051.44521,1.735,12.8,1.14,1840.86213334,5.792,Mass,0.319,4.515000000000001,449.05,M0,3734.0,0.69,0.626,0.23,[Fe/H],4.62,262.5448903,-51.6377777,52.273674432,8.86517
GJ 676 A c,GJ 676 A,2,4,0,Radial Velocity,2016,Paranal Observatory,13921.42302,9.726,12.3,1.1,4288.14086724,13.492,Mass,0.295,4.515000000000001,449.05,M0,3734.0,0.69,0.626,0.23,[Fe/H],4.62,262.5448903,-51.6377777,52.273674432,8.86517
GJ 676 A d,GJ 676 A,2,4,0,Radial Velocity,2012,La Silla Observatory,3.60076,0.039,1.78,0.159,3.81394088,0.012,Msini,0.192,4.515000000000001,449.05,M0,3734.0,0.69,0.626,0.23,[Fe/H],4.62,262.5448903,-51.6377777,52.273674432,8.86517
GJ 676 A e,GJ 676 A,2,4,0,Radial Velocity,2012,La Silla Observatory,35.47358,0.181,2.47,0.221,6.67439655,0.021,Msini,0.152,4.515000000000001,449.05,M0,3734.0,0.69,0.626,0.23,[Fe/H],4.62,262.5448903,-51.6377777,52.273674432,8.86517
GJ 680 b,GJ 680,2,1,0,Radial Velocity,2022,Multiple Observatories,17281.66514,10.138,12.0,1.07,7977.4930157,25.1,Mass,0.381,4.515000000000001,449.05,K5,3563.0,0.45933,0.456,0.05,Unknown,4.77323,263.8072214,-48.6788427,31.549559113999997,9.28322
GJ 682 b,GJ 682,1,2,0,Radial Velocity,2014,Multiple Observatories,17.478,0.08,1.93,0.173,4.4,0.01384388,Msini,0.08,4.515000000000001,449.05,M3.5 V,3028.0,0.298255,0.27,0.05,Unknown,4.92764,264.2610245,-44.3232519,16.3296850676,9.57025
GJ 682 c,GJ 682,1,2,0,Radial Velocity,2014,Multiple Observatories,57.32,0.176,2.89,0.258,8.7,0.02737312,Msini,0.1,4.515000000000001,449.05,M3.5 V,3028.0,0.298255,0.27,0.05,Unknown,4.92764,264.2610245,-44.3232519,16.3296850676,9.57025
GJ 685 b,GJ 685,1,1,0,Radial Velocity,2019,Roque de los Muchachos Observatory,24.16,0.1344,2.95,0.263,9.0,0.02831702,Msini,0.0,4.515000000000001,449.05,M0.5,3816.0,0.54,0.55,-0.15,[Fe/H],4.72,263.8960378,61.6793482,46.690862179999996,9.1671
GJ 687 b,GJ 687,1,2,0,Radial Velocity,2014,Lick Observatory,38.142,0.163,4.32,0.385,17.2,0.05411698,Msini,0.17,4.515000000000001,449.05,M3.0V,3413.0,0.4183,0.4,0.0631,[Fe/H],4.85936,264.1041731,68.3336741,14.838108448399998,8.02754
GJ 687 c,GJ 687,1,2,0,Radial Velocity,2020,Multiple Observatories,727.562,1.165,4.14,0.369,16.0,0.05034138,Msini,0.4,4.515000000000001,449.05,M3.0V,3413.0,0.4183,0.4,0.0631,[Fe/H],4.85936,264.1041731,68.3336741,14.838108448399998,8.02754
GJ 720 A b,GJ 720 A,2,1,0,Radial Velocity,2021,Roque de los Muchachos Observatory,19.466,0.119,3.77,0.336,13.64,0.04291624,Msini,0.12,4.515000000000001,401.0,M0.5 V,3837.0,0.56,0.57,-0.14,[Fe/H],4.71,278.8294172,45.7456038,50.7417197,9.10496
GJ 724 b,GJ 724,1,1,0,Radial Velocity,2023,Calar Alto Observatory,5.101284,0.04685,3.27,0.292,10.75,0.03382328,Msini,0.577,23.32,611.0,M1.0 V,3799.0,0.52226,0.5271,-0.02,[Fe/H],4.88,280.238365,-13.3824997,55.334974648,9.76915
GJ 740 b,GJ 740,1,1,0,Radial Velocity,2021,Multiple Observatories,2.37756,0.029,1.53,0.137,2.96,0.00931315,Msini,0.24,79.0,829.0,M1.0 V,3913.0,0.56,0.58,0.08,[Fe/H],4.68,284.4997178,5.902867,36.208860652,8.45636
GJ 806 b,GJ 806,1,2,0,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0.9263237,0.01406,1.331,0.11874407,1.9,0.00597807,Mass,0.0,130.0,940.0,M1.5 V,3600.0,0.4144,0.413,-0.28,[Fe/H],4.98,311.2697002,44.5002351,39.28385941999999,9.82461
GJ 806 c,GJ 806,1,2,0,Radial Velocity,2023,Multiple Observatories,6.64064,0.0523,2.28,0.203,5.8,0.01824884,Msini,0.152,9.5,490.0,M1.5 V,3600.0,0.4144,0.413,-0.28,[Fe/H],4.98,311.2697002,44.5002351,39.28385941999999,9.82461
GJ 832 b,GJ 832,1,1,0,Radial Velocity,2008,Anglo-Australian Telescope,3853.0,3.7,13.8,1.23,314.65012293,0.99,Mass,0.05,4.515000000000001,449.05,M2/3 V,3472.0,0.441557,0.45,-0.3,[Fe/H],4.78905,323.3912616,-49.0125169,16.191525386,7.73761
GJ 849 b,GJ 849,1,2,0,Radial Velocity,2006,W. M. Keck Observatory,1925.31,2.32,13.9,1.24,283.82076745,0.893,Msini,0.029,4.515000000000001,449.05,M3.5,3467.0,0.45,0.45,0.09,[Fe/H],4.8,332.4229938,-4.6408317,28.703619704799998,9.2245
GJ 849 c,GJ 849,1,2,0,Radial Velocity,2014,W. M. Keck Observatory,5990.0,4.95,13.8,1.23,314.65012293,0.99,Msini,0.092,4.515000000000001,449.05,M3.5,3467.0,0.45,0.45,0.09,[Fe/H],4.8,332.4229938,-4.6408317,28.703619704799998,9.2245
GJ 86 b,GJ 86,2,1,0,Radial Velocity,1999,La Silla Observatory,15.76491,0.11,12.9,1.15,1404.8086,4.42,Msini,0.04,4.515000000000001,449.05,K1V,5182.0,0.77,0.93,-0.22,[Fe/H],4.63,32.6224785,-50.8209945,35.171358416,5.88516
